AttemptID;RetryNumber;WaveNumber;Death;CurrentJitter;SmoothedJitter;IsHard;JitterPeak;JitterVariance;JitterStdDev;JitterEvents;OvershootCount;JitterArea;JitterDirectionBias;JitterClusters
WaveFailTime;0;172.6331
WaveFailTime;0;202.8955
3;2;1;1;0.6078;0.3823;0;0.6078;0.0404;0.2010;0;5;3.3151;0.4722;0
3;2;1;1;0.4618;0.4908;0;0.8463;0.0142;0.1192;0;7;5.6188;-0.1460;0
WaveSuccessTime;1;27.6656
COMPLETED WAVE 1
3;2;2;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;2;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;2;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;2;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;2;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;2;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;2;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;2;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;2;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;2;1;0.3831;0.3751;0;1.1267;0.0953;0.3086;0;6;5.1673;-0.0787;0
3;2;2;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
TimeToTargetHit;2;Enemy1_Wave2_waver;2.1257
3;2;2;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;2;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;2;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;2;1;0.6994;0.3457;0;0.7776;0.0553;0.2351;0;3;4.0067;0.3163;0
3;2;2;1;0.4601;0.4055;0;0.7174;0.0322;0.1794;0;6;5.2427;-0.2393;0
3;2;2;1;0.2846;0.2823;0;0.3996;0.0087;0.0932;0;7;3.3751;-0.1755;0
3;2;2;1;0.5808;0.4868;0;0.6318;0.0445;0.2109;0;6;4.4805;0.2962;0
3;2;2;1;0.1769;0.1940;0;0.4614;0.0126;0.1124;0;7;2.3516;-0.4039;0
3;2;2;1;0.4330;0.4234;0;0.6324;0.0242;0.1556;0;4;3.8420;0.2560;0
3;2;2;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;2;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;2;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;2;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;2;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;2;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;2;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;2;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;2;1;0.5090;0.4140;0;0.6582;0.0434;0.2082;0;4;4.4799;0.0760;0
3;2;2;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;2;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;2;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;2;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;2;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;2;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;2;1;0.4601;0.3677;0;0.5020;0.0195;0.1397;0;5;3.9961;-0.0489;0
3;2;2;1;0.4454;0.4591;0;0.5403;0.0045;0.0668;0;7;4.9172;-0.0147;0
3;2;2;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;2;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;2;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;2;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
